Protein,S10_N,S10_T,S11_N,S11_T,S2_N,S2_T,S3_N,S3_T,S4_N,S4_T,S5_N,S5_T,S6_N,S6_T,S7_N,S7_T,S8_N,S8_T,S9_N,S9_T
RAB14.1;RAB14.1.2;RAB14.1.3;RAB14.1.4,496928.75,76992.484,112217.34,22312.7,494872.62,20993.012,473024.8,357511.97,846930.2,370939.75,1168768.2,609637.3,1000430.4,212050.16,878167.25,46818.51,1257526.2,32149.973,357356,50713.86
PLS3.9;PLS3.9.2,4966.122,14352.879,7725.0996,39310.867,105428.6,6531109.5,476040.72,578618.3,615922.06,2184113,63428.33,328230.88,156328.23,670266.44,832557.6,1118719.8,48566.203,39639.43,28219.715,2445812
TBL2.5;TBL2.5.2;TBL2.5.3;TBL2.6,50338.402,91112.164,94339.63,155808.95,20361.139,4165905.5,35989.492,56068.027,5313.4463,3293246.8,60462.164,376003.66,84912.56,550831.7,148813.67,165632.75,153366.27,1270872.5,18879.61,140235.94
MTARC2.3.2,6.1677056E7,2.3593352E7,1.1693416E8,1.39135744E8,5.6210832E7,4.3217232E7,8.823632E7,8642542,1.20716224E8,8.4970336E7,8.4671912E7,3.636568E7,9.943328E7,6.6077528E7,7.6166928E7,1.4498206E7,8.4557456E7,6.0342484E7,1.21638848E8,3.0604612E7
PCBP2.1.2;PCBP2.1.3;PCBP2.1.7;PCBP2.1.8;PCBP2.1.9;PCBP2.2.2;PCBP2.3.6;PCBP2.4.2;PCBP2.4.3;PCBP2.4.5;PCBP2.4.7;PCBP2.5;PCBP2.5.7;PCBP2.6;PCBP2.6.3;PCBP2.6.4;PCBP2.6.5;PCBP2.7;PCBP2.7.10;PCBP2.7.11;PCBP2.7.8,1.51681536E8,3.10823424E8,3.06490688E8,4.17985472E8,2.12354304E8,4.3978504E7,2.29628128E8,1.38624672E8,1.94167392E8,7.9810509E8,2.19760288E8,1.1927004E8,2.26120512E8,3.8992304E8,1.92480208E8,3.3859768E7,2.07901696E8,4.74235232E8,2.80846336E8,1.13791488E8
PLBD2.4;PLBD2.4.3,2916106.5,3107907,8771463,9197984,3861001,1.0696712E7,7252032,3625920.5,9005631,4.437902E7,6401450,1.5761664E7,7974223.5,1.1529682E7,2212012,9552150,5148842,7335649,7695207,8452179
MACROH2A1.2;MACROH2A1.4.5;MACROH2A1.5.2;MACROH2A1.6;MACROH2A1.6.2;MACROH2A1.7;MACROH2A1.7.2,78574.14,63037.21,113255.42,7115306.5,10923.113,1505567.1,529904.1,14708.332,3130474.5,2.1767152E7,1765.5718,911292.1,291196.66,4562654.5,3874.385,2498257,4391801.5,6445628,1691511.5,347604.9
CD82.2;CD82.2.2;CD82.3;CD82.3.10;CD82.3.3;CD82.3.4;CD82.3.5;CD82.3.6;CD82.3.7;CD82.3.8;CD82.3.9;CD82.5.2;CD82.5.3;CD82.5.6,8201026,2154767.5,3722784.2,5140357,6118576,6013802,1.905088E7,9171058,3.0974974E7,1.3468118E7,3.3576736E7,2.131504E7,1.5558352E7,3702285,1.3812476E7,1.1587884E7,1.9812054E7,1315990.8,7472862,3074011.8
RPN2.4;RPN2.4.2;RPN2.4.4;RPN2.5;RPN2.6;RPN2.7;RPN2.8.2;RPN2.8.3;RPN2.9;RPN2.9.2;RPN2.9.3;RPN2.9.6;RPN2.9.8;RPN2.9.9,15651.024,81668.734,55101.33,374510.75,8145.195,578406,24525.883,107060.84,14247.209,1719567.2,14500.312,17144.736,45386.316,33796.39,26205.201,427488.5,337468.62,45531.504,124411.414,216811.94
CBR1.2.12;CBR1.2.13;CBR1.2.14;CBR1.2.17;CBR1.2.18;CBR1.2.21;CBR1.2.22;CBR1.2.23;CBR1.2.24;CBR1.2.25;CBR1.2.26;CBR1.2.27;CBR1.2.29;CBR1.2.30;CBR1.2.4;CBR1.2.6;CBR1.2.8;CBR1.2.9,153236.52,828669.8,615903.4,33379.336,2583001.5,656851.25,2852770,1.3825802E7,2980124.2,916148.25,8727718,1.1709358E7,3376032,122497.71,4573230.5,480253.44,864327.5,602240.7,712317.94,583306.1
